Dataflow,STAT_UNIT,UNIT_MEASURE,EDU_LEVEL,EDU_CAT,SEX,AGE,GRADE,SECTOR_EDU,EDU_ATTAIN,WEALTH_QUINTILE,LOCATION,EDU_TYPE,EDU_FIELD,SUBJECT,INFRASTR,SE_BKGRD,TEACH_EXPERIENCE,CONTRACT_TYPE,COUNTRY_ORIGIN,REGION_DEST,IMM_STATUS,REF_AREA,TIME_PERIOD,OBS_VALUE,UNIT_MULT,OBS_STATUS,FREQ,DECIMALS
UNESCO:EDU_NON_FINANCE(3.0),GECER,PT,L02,_T,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,1998,40.52646,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),GECER,PT,L02,_T,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,1999,42.31086,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),GECER,PT,L02,_T,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2000,44.13253,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),GECER,PT,L02,_T,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2001,45.23442,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),GECER,PT,L02,_T,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2002,44.79487,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),GECER,PT,L02,_T,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2003,48.33761,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),GECER,PT,L02,_T,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2004,49.66252,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),GECER,PT,L02,_T,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2005,51.28998,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),GECER,PT,L02,_T,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2006,53.76874,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),GECER,PT,L02,_T,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2007,54.83866,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),GECER,PT,L02,_T,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2008,58.60956,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),GECER,PT,L02,_T,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2009,61.71825,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),GECER,PT,L02,_T,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2010,65.03855,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),GECER,PT,L02,_T,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2011,70.00330,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),GECER,PT,L02,_T,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2012,77.32688,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),GECER,PT,L02,_T,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2013,48.84838,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),GECER,PT,L02,_T,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2014,49.26092,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),GECER,PT,L02,_T,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2015,50.32700,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),GECER,PT,L02,_T,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2016,50.59460,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),GECER,PT,L02,_T,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2017,47.76904,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),GECER,PT,L02,_T,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2018,46.97922,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),GECER,PT,L02,_T,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,1998,28.92230,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),GECER,PT,L02,_T,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,1999,26.25673,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),GECER,PT,L02,_T,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,2000,26.31642,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),GECER,PT,L02,_T,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,2001,24.86084,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),GECER,PT,L02,_T,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,2002,25.72026,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),GECER,PT,L02,_T,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,2003,28.25854,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),GECER,PT,L02,_T,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,2004,31.30010,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),GECER,PT,L02,_T,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,2005,32.09145,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),GECER,PT,L02,_T,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,2006,35.06798,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),GECER,PT,L02,_T,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,2007,34.65986,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),GECER,PT,L02,_T,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,2008,35.79373,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),GECER,PT,L02,_T,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,2009,37.09371,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),GECER,PT,L02,_T,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,2010,36.99861,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),GECER,PT,L02,_T,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,2011,51.96393,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),GECER,PT,L02,_T,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,2012,54.94859,0,A,A,5
